50帧频道,#genre#
法治,http://61.52.157.201:808/hls/20/index.m3u8
河南法治,http://171.13.119.47:808/hls/34/index.m3u8
河南法治,http://222.89.28.102:808/hls/34/index.m3u8
河南民生,http://171.13.119.47:808/hls/33/index.m3u8
河南民生,http://222.89.28.102:808/hls/33/index.m3u8
民生,http://61.52.157.201:808/hls/19/index.m3u8

上海东方,http://121.24.98.5:8090/hls/77/index.m3u8
上海卫视,http://111.225.94.110:33333/hls/30/index.m3u8
上海卫视,http://111.225.94.14:33333/hls/30/index.m3u8
上海卫视,http://111.225.94.238:33333/hls/30/index.m3u8
上海卫视,http://123.183.76.21:808/hls/42/index.m3u8
上海卫视,http://171.13.119.47:808/hls/62/index.m3u8
上海卫视,http://222.89.28.102:808/hls/62/index.m3u8
四川卫视,http://111.225.94.110:33333/hls/54/index.m3u8
四川卫视,http://111.225.94.14:33333/hls/54/index.m3u8
四川卫视,http://111.225.94.238:33333/hls/54/index.m3u8
四川卫视,http://121.24.98.5:8090/hls/58/index.m3u8
四川卫视,http://123.183.76.21:808/hls/37/index.m3u8
四川卫视,http://171.13.119.47:808/hls/76/index.m3u8
四川卫视,http://222.89.28.102:808/hls/76/index.m3u8
四川卫视,http://61.52.157.201:808/hls/52/index.m3u8
北京纪实,http://123.183.76.21:808/hls/86/index.m3u8
北京纪实科教,http://111.225.94.110:33333/hls/58/index.m3u8
北京纪实科教,http://111.225.94.14:33333/hls/58/index.m3u8
北京纪实科教,http://111.225.94.238:33333/hls/58/index.m3u8
纪实人文,http://111.225.94.110:33333/hls/36/index.m3u8
纪实人文,http://111.225.94.14:33333/hls/36/index.m3u8
纪实人文,http://111.225.94.238:33333/hls/36/index.m3u8
纪实人文,http://121.24.98.5:8090/hls/108/index.m3u8
梨园,http://121.24.98.5:8090/hls/45/index.m3u8
梨园,http://123.183.76.21:808/hls/89/index.m3u8
梨园,http://61.52.157.201:808/hls/26/index.m3u8
河北都市,http://111.225.94.110:33333/hls/20/index.m3u8
河北都市,http://111.225.94.14:33333/hls/20/index.m3u8
河北都市,http://111.225.94.238:33333/hls/20/index.m3u8
河北都市,http://121.24.98.5:8090/hls/28/index.m3u8
河北公共,http://111.225.94.110:33333/hls/23/index.m3u8
河北公共,http://111.225.94.14:33333/hls/23/index.m3u8
河北公共,http://111.225.94.238:33333/hls/23/index.m3u8
河北公共,http://121.24.98.5:8090/hls/31/index.m3u8
河北公共,http://123.183.76.21:808/hls/21/index.m3u8
河北经济生活,http://111.225.94.110:33333/hls/19/index.m3u8
河北经济生活,http://111.225.94.14:33333/hls/19/index.m3u8
河北经济生活,http://111.225.94.238:33333/hls/19/index.m3u8
河北农民,http://111.225.94.110:33333/hls/24/index.m3u8
河北农民,http://111.225.94.14:33333/hls/24/index.m3u8
河北农民,http://111.225.94.238:33333/hls/24/index.m3u8
河北农民,http://121.24.98.5:8090/hls/27/index.m3u8
河北农民,http://123.183.76.21:808/hls/22/index.m3u8
河北少儿,http://111.225.94.110:33333/hls/22/index.m3u8
河北少儿,http://111.225.94.14:33333/hls/22/index.m3u8
河北少儿,http://111.225.94.238:33333/hls/22/index.m3u8
河北少儿,http://121.24.98.5:8090/hls/30/index.m3u8
河北少儿,http://123.183.76.21:808/hls/20/index.m3u8
河北生活,http://121.24.98.5:8090/hls/26/index.m3u8
河北卫视,http://111.225.94.110:33333/hls/18/index.m3u8
河北卫视,http://111.225.94.14:33333/hls/18/index.m3u8
河北卫视,http://111.225.94.238:33333/hls/18/index.m3u8
河北卫视,http://121.24.98.5:8090/hls/25/index.m3u8
河北卫视,http://123.183.76.21:808/hls/16/index.m3u8
河北卫视,http://171.13.119.47:808/hls/72/index.m3u8
河北卫视,http://222.89.28.102:808/hls/72/index.m3u8
河北影视,http://111.225.94.110:33333/hls/21/index.m3u8
河北影视,http://111.225.94.14:33333/hls/21/index.m3u8
河北影视,http://111.225.94.238:33333/hls/21/index.m3u8
河北影视,http://121.24.98.5:8090/hls/29/index.m3u8
河北影视,http://123.183.76.21:808/hls/19/index.m3u8
河北杂技,http://121.24.98.5:8090/hls/60/index.m3u8
CCTV6电影,http://171.13.119.47:808/hls/6/index.m3u8
CCTV6电影,http://222.89.28.102:808/hls/6/index.m3u8
谍战剧场,http://121.24.98.5:8090/hls/107/index.m3u8
经典电影,http://121.24.98.5:8090/hls/103/index.m3u8
热播剧场,http://121.24.98.5:8090/hls/104/index.m3u8
热播剧场,http://61.52.157.201:808/hls/71/index.m3u8
哈哈炫动,http://171.13.119.47:808/hls/94/index.m3u8
哈哈炫动,http://222.89.28.102:808/hls/94/index.m3u8
佳嘉卡通,http://171.13.119.47:808/hls/92/index.m3u8
佳嘉卡通,http://222.89.28.102:808/hls/92/index.m3u8
佳嘉卡通,http://61.52.157.201:808/hls/63/index.m3u8
金鹰卡通,http://111.225.94.110:33333/hls/62/index.m3u8
金鹰卡通,http://111.225.94.14:33333/hls/62/index.m3u8
金鹰卡通,http://111.225.94.238:33333/hls/62/index.m3u8
金鹰卡通,http://121.24.98.5:8090/hls/72/index.m3u8
金鹰卡通,http://123.183.76.21:808/hls/58/index.m3u8
金鹰卡通,http://171.13.119.47:808/hls/91/index.m3u8
金鹰卡通,http://222.89.28.102:808/hls/91/index.m3u8
金鹰卡通,http://61.52.157.201:808/hls/61/index.m3u8
广东卫视,http://111.225.94.110:33333/hls/34/index.m3u8
广东卫视,http://111.225.94.14:33333/hls/34/index.m3u8
广东卫视,http://111.225.94.238:33333/hls/34/index.m3u8
广东卫视,http://121.24.98.5:8090/hls/82/index.m3u8
广东卫视,http://123.183.76.21:808/hls/45/index.m3u8
广东卫视,http://171.13.119.47:808/hls/65/index.m3u8
广东卫视,http://222.89.28.102:808/hls/65/index.m3u8
广西卫视,http://111.225.94.110:33333/hls/38/index.m3u8
广西卫视,http://111.225.94.14:33333/hls/38/index.m3u8
广西卫视,http://111.225.94.238:33333/hls/38/index.m3u8
广西卫视,http://121.24.98.5:8090/hls/85/index.m3u8
广西卫视,http://123.183.76.21:808/hls/46/index.m3u8
广西卫视,http://171.13.119.47:808/hls/85/index.m3u8
广西卫视,http://222.89.28.102:808/hls/85/index.m3u8
河南都市,http://171.13.119.47:808/hls/32/index.m3u8
河南都市,http://222.89.28.102:808/hls/32/index.m3u8
河南公共,http://171.13.119.47:808/hls/38/index.m3u8
河南公共,http://222.89.28.102:808/hls/38/index.m3u8
河南农村,http://171.13.119.47:808/hls/39/index.m3u8
河南农村,http://222.89.28.102:808/hls/39/index.m3u8
河南卫视,http://111.225.94.110:33333/hls/52/index.m3u8
河南卫视,http://111.225.94.14:33333/hls/52/index.m3u8
河南卫视,http://111.225.94.238:33333/hls/52/index.m3u8
河南卫视,http://121.24.98.5:8090/hls/34/index.m3u8
河南卫视,http://123.11.144.185:22222/hls/16/index.m3u8
河南卫视,http://123.183.76.21:808/hls/36/index.m3u8
河南卫视,http://171.13.119.47:808/hls/31/index.m3u8
河南卫视,http://222.89.28.102:808/hls/31/index.m3u8
河南卫视,http://61.52.157.201:808/hls/16/index.m3u8
河南影视,http://171.13.119.47:808/hls/35/index.m3u8
河南影视,http://222.89.28.102:808/hls/35/index.m3u8
湖北卫视,http://111.225.94.110:33333/hls/44/index.m3u8
湖北卫视,http://111.225.94.14:33333/hls/44/index.m3u8
湖北卫视,http://111.225.94.238:33333/hls/44/index.m3u8
湖北卫视,http://121.24.98.5:8090/hls/57/index.m3u8
湖北卫视,http://123.183.76.21:808/hls/41/index.m3u8
湖北卫视,http://171.13.119.47:808/hls/77/index.m3u8
湖北卫视,http://222.89.28.102:808/hls/77/index.m3u8
湖北卫视,http://61.52.157.201:808/hls/47/index.m3u8
辽宁卫视,http://111.225.94.110:33333/hls/35/index.m3u8
辽宁卫视,http://111.225.94.14:33333/hls/35/index.m3u8
辽宁卫视,http://111.225.94.238:33333/hls/35/index.m3u8
辽宁卫视,http://121.24.98.5:8090/hls/59/index.m3u8
